timestamp,token_symbol,event,tx,tokens,token_price_usd,sol_delta,sol_price_usd,usd_delta,pnl_pct,pnl_usd
"2025-06-09T02:38:52.271Z","TAP","BUY","2F9H2rL6QF5A8SEb63tQ6u1WUYHfmBKp4kLYkRWv3C3t4YPJutif2rBWoYkqjzwaUJ43AjUiNWgfUu2MCbVAmrhd","410.684338",0.0024614343,-0.006666666,152.1,-1.0139998985999998,"",""
"2025-06-09T02:45:26.461Z","TAP","BUY","2ikrmuJeYeTvyhUfzx6qW3Gd7NRKQWq9KXecopj3ezGX54UVZczTebVP4kzuBc3k7tNSEWGYAgN5s1qXvX9Tw9ba","372.810263",0.0026764881499999997,-0.006666666,152.03,-1.01353323198,"",""
"2025-06-09T02:50:02.045Z","TAP","BUY","U8Cu3RwC5KNACdSphHv2sUjjkoC8ghdwES5C1edYigRGqiPKEvFfFoYpw2GbVfZBQSy3gPHSzFEUADtEbEMUgc5","852.149459",0.0023634338800000002,-0.013333332,151.96,-2.02613313072,"",""
"2025-06-09T03:14:03.194Z","TAP","BUY","3A4bjFDFKqDa4Y6mGeaJ8wUqStuRJnNbMXK49ToKKaFud7v4BXwKx3Jw3EC8ni3YgHVM4ovj3u8rQ1DSZMU6XG9x","1942.198837",0.0020711145,-0.026666664,151.73,-4.04613292872,"",""
"2025-06-09T03:14:04.520Z","TAP","BUY","4Xnxo11zvNgtMp2Xcy827nBeWVDYGpxc2Y3GkkAoRbFBkrJk1xS3VBSw3UxFiGmoNWYsZASDbrgLzoJYaCx1BzXC","1939.837369",0.00207323872,-0.026666664,151.72,-4.04586626208,"",""
"2025-06-09T04:01:22.525Z","TAP","BUY","2u9wjqxgqXgrZAEARog3d2vf4Wz9XGjBMoXx2cAhD8UqMh23wmhv9AP8wc5UnSMww1ZNvicc6yFbU3ENGpXWvvC2","512.997764",0.00206635187,-0.006666666,151.37,-1.00913323242,"",""
"2025-06-09T04:02:22.303Z","TAP","BUY","3UhwyU59ooQ5LBJTmLaHe8Z7JuiPYY2qnqVUuNuUShMNP14aQuhpdqYVbjynb8MW7vub9rvyTyRMzJdVcTiPpNth","500.999710",0.00206529228,-0.006666666,151.37,-1.00913323242,"",""
"2025-06-09T04:18:52.275Z","TAP","BUY","5wTSafGXvXvrJwC6rXiZ8JQedeAhZDUupAYMvc5ZjPNfENG3ZPzsf3fbMTG97tw5UpiFip9rcZjNN6vbSyMW4V4a","523.460089",0.00201091706,-0.006666666,151.63,-1.01086656558,"",""
"2025-06-09T04:32:27.683Z","TAP","BUY","2cwNwn647DJ7W4r24NNNtPN6t3owTjEyn8b6t7XqdX2yhb2iPkxU8b8e5VwxoaYRYdGZiySbWWesYp5Y35Wa3RYZ","467.056510",0.00214976576,-0.006666666,151.52,-1.01013323232,"",""
"2025-06-09T04:44:24.736Z","TAP","BUY","EJ3PkZrsfXEgRUi9pgtx6VSvx2rjsYFDVDi5ka8L442kvfAf8ee6MjzmnJwva28iDALP85y7w1hEjLZajQhhsDk","451.446736",0.0022222492,-0.006666666,151.4,-1.0093332324,"",""
"2025-06-09T04:56:08.216Z","TAP","BUY","3s8wx91EVTULjsTgiosroN85X5uKmhm8G5hUwAQZx1E8RdtxPYhpaBCcERpnxeUE5ax2hJeBZqBkimgTs4dCoiKC","480.213373",0.00208737473,-0.006666666,151.27,-1.00846656582,"",""
"2025-06-09T05:14:33.560Z","TAP","SELL","3UkSxhzA2BfLuCeFVpL9MydBfbgLgXkty9v9UiRWNPYmbV2QMAYR54NCh1gXDdgK6f1uBQszvmjHtiWoGrymC8Si","480.213373",0.00219801463,0.006994911,150.89,1.05546212079,"4.92","0.05"
"2025-06-09T05:15:02.772Z","TAP","BUY","5PpQ52VjEpiruacF8ezKDJ3qucwRiSMyQ7PZZA4ReRftwbqsLaeqEzw7T2i43kaKN3SRMoFNRCTm3bmDkfQyU7qy","457.432164",0.00219786374,-0.006666666,150.85,-1.0056665661,"",""
